KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
Meranti;RangsangBarat;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHilir;RantauKopar;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
IndragiriHulu;Rengat;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
IndragiriHulu;RengatBarat;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHilir;Reteh;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHilir;RimbaMelintang;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHulu;RokanIVKoto;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Pekanbaru;Rumbai;58000;4 - 5 Hari;36000;7 - 8 Hari;62000;-;YOGYAKARTA
Pekanbaru;RumbaiPesisir;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Kampar;RumbioJaya;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Bengkalis;Rupat;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bengkalis;RupatUtara;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Pekanbaru;Sail;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Kampar;Salo;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHulu;Seberida;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Meranti;SelatPanjang;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Pekanbaru;Senapelan;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Siak;Siak;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;SiakHulu;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Siak;SiakIndrapura;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
Bengkalis;SiakKecil;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHilir;SimpangKanan;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHilir;Sinaboi;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KuantanSengingi;Singingi;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
KuantanSengingi;SingingiHilir;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Palalawan;Sorek;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Pekanbaru;Sukajadi;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Siak;SungaiApit;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Siak;SungaiMandau;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Dumai;SungaiSembilan;73000;4 - 5 Hari;63000;7 - 8 Hari;-;-;YOGYAKARTA
Kampar;Tambang;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Pekanbaru;Tampan;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
IndragiriHilir;TanahMerah;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHilir;TanahPutih;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHilir;TanahPutihTanjungMelawan;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;Tandun;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;Tapung;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;TapungHilir;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;TapungHulu;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Meranti;TebingTinggi;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Meranti;TebingTinggiBarat;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHilir;TelukBalengkong;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
KuantanSengingi;TelukKuantan;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
Palalawan;TelukMeranti;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHilir;Tembilahan;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
IndragiriHilir;TembilahanHulu;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;Tembusai;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;TembusaiUtara;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHilir;Tempuling;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Pekanbaru;TenayanRaya;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Siak;Tualang;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;UjungBatu;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
Palalawan;Ukui;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;XIIIKotoKampar;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KotawaringinTimur;AntangKalang;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinBarat;ArutSelatan;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinBarat;ArutUtara;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;Baamang;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Sukamara;BalaiRiam;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
PulangPisau;Banamatingang;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;Basarang;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Palangkaraya;BukitBatu;35000;2 - 3 Hari;30000;5 - 6 Hari;-;-;YOGYAKARTA
Lamandau;Bulik;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;Cempaga;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Seruyan;DanauSembuluh;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Lamandau;Delang;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Seruyan;Hanau;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Palangkaraya;JekanRaya;35000;2 - 3 Hari;30000;5 - 6 Hari;42000;-;YOGYAKARTA
Sukamara;Jelai;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
PulangPisau;KahayanHilir;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
GunungMas;KahayanHuluUtara;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
PulangPisau;KahayanKuala;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
PulangPisau;KahayanTengah;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Katingan;Kamipang;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Kapuas;KapuasBarat;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasHilir;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasHulu;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasKuala;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasMurung;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasTengah;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KapuasTimur;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Katingan;Kasongan;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
Katingan;KatinganHilir;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Katingan;KatinganHulu;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Katingan;KatinganKuala;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Katingan;KatinganTengah;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;KotaBesi;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinBarat;KotaWaringinLama;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;KualaKapuas;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
GunungMas;KualaKurun;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
Seruyan;KualaPembuang;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
KotawaringinBarat;Kumai;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Lamandau;Lamandau;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
PulangPisau;Maliku;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Kapuas;Mantangai;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Katingan;Marikit;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Katingan;Mendawai;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;MentawaBaru;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;MentayaHilirSelatan;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;MentayaHilirUtara;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;MentayaHulu;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
GunungMas;Munuhing;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Lamandau;NangaBulik;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
Palangkaraya;Pahandut;35000;2 - 3 Hari;30000;5 - 6 Hari;42000;-;YOGYAKARTA
Palangkaraya;Palangkaraya;35000;2 - 3 Hari;30000;5 - 6 Hari;42000;-;YOGYAKARTA
PulangPisau;PandihBatu;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinBarat;PangkalanBanteng;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinBarat;PangkalanBun;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
KotawaringinBarat;PangkalanLada;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
KotawaringinTimur;Parenggean;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
PulangPisau;PulangPisau;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
KotawaringinTimur;PulauHanaut;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Katingan;PulauMalan;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Kapuas;PulauPetak;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Palangkaraya;Rakumpit;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
GunungMas;Rungan;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KotawaringinTimur;Sampit;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
Katingan;SanamanMantikei;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Palangkaraya;Sebangau;35000;2 - 3 Hari;30000;5 - 6 Hari;-;-;YOGYAKARTA
Kapuas;Selat;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
GunungMas;Sepang;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Seruyan;SeruyanHilir;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
Seruyan;SeruyanHulu;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Seruyan;SeruyanTengah;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Sukamara;Sukamara;68000;3 - 5 Hari;58000;7 - 8 Hari;-;-;YOGYAKARTA
Katingan;TasikPayawan;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
GunungMas;Tewah;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Katingan;TewangSangalangGaring;128000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Kapuas;Timpah;85000;5 - 6 Hari;73000;8 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;Abab(PenukalAbab);65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringIlir;AirSugihan;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Palembang;Alang-AlangLebar;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
MusiBanyuasin;BabatToman;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluSelatan;BandingAgung;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Banyuasin;BanyuasinI;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Banyuasin;BanyuasinII;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Banyuasin;BanyuasinIII;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiBanyuasin;BatangHarileko;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUlu;Baturaja;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
OganKomeringUlu;BaturajaBarat;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUlu;BaturajaTimur;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiBanyuasin;BayungLencir;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;Belitang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;BelitangII;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;BelitangIII;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;Benakat;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Banyuasin;Betung;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiRawas;BKLUluTerawas;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiRawas;BTSUlu;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;BuayMadang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluSelatan;BuayPemaca;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;BuayPemukaPeliung;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluSelatan;BuayRunjung;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUluSelatan;BuaySandangAji;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Palembang;BukitKecil;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Prabumulih;Cambai;65000;4 - 5 Hari;57000;7 - 8 Hari;-;-;YOGYAKARTA
OganKomeringUluTimur;Cempaka;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringIlir;Cengal;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
PagarAlam;DempoSelatan;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
PagarAlam;DempoTengah;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
PagarAlam;DempoUtara;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
