KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
LombokTimur;Aikmel;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Alas;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;AlasBarat;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Ambalawi;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Mataram;Ampenan;33000;2 - 3 Hari;29000;4 - 5 Hari;55000;-;YOGYAKARTA
Bima;Asakota;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;Batukliang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;BatukliangUtara;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;BatuLanteh;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;BatuLayar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Bayan;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;Belo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Bima;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;Bolo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;BrangRea;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Mataram;Cakranegara;33000;2 - 3 Hari;29000;4 - 5 Hari;55000;-;YOGYAKARTA
Dompu;Dompu;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;Donggo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Empang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Gangga;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Gerung;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokBarat;GunungSari;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Hu'u;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTengah;Janapria;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;Jereweh;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Jerowaru;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;Jonggat;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Kayangan;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Kediri;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Kempo;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTimur;Keruak;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Kilo;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTengah;Kopang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Kuripan;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Labangka;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;LabuApi;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;LabuhanBadas;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;LabuhanHaji;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Lambu;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Langgudu;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Sumbawa;Lape-Lopok;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Lembar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Lingsar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Lunyuk;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;MadaPangga;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Manggelewa;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;MasBagik;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Mataram;Mataram;33000;2 - 3 Hari;29000;4 - 5 Hari;55000;-;YOGYAKARTA
Bima;Monta;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;MontongGading;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Moyohilir;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Moyohulu;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Mpunda;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokBarat;Narmada;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Pajo;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Dompu;Pekat;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Pemenang;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Sumbawa;Plampang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;Praya;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;PrayaBarat;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;PrayaBaratDaya;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;PrayaTengah;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;PrayaTimur;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTimur;Pringgabaya;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTengah;Pringgarata;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Pringgasela;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;Pujut;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Raba;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;RasanaeBarat;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;RasanaeTimur;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Sumbawa;Ropang;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTimur;Sakra;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;SakraBarat;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;SakraTimur;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Sambelia;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;Sanggar;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;Sape;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;Sekongkang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;SekotongTengah;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTimur;Selong;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTimur;Sembalun;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SumbawaBarat;Seteluk;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTimur;Sikur;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Suela;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Sukamulia;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Sumbawa;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Sumbawa;SumbawaBesar;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTimur;Suralaga;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;Taliwang;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;Tambora;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Tanjung;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Terara;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Utan-Rhee;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Wanasaba;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Wawo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Wera;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Woha;59000;6 - 7 Hari ;51000;5 - 7 Hari;-;-;YOGYAKARTA
Dompu;Woja;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Buru;AirBuaya/BuruUtaraBarat;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;Amahai;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Ambon;Ambon;61000;5 - 6 Hari;52000;6 - 7 Hari;-;-;YOGYAKARTA
MalukuTengah;Banda;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianTimur;Bula;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Damer;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianTimur;DataranHunimoa;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KepulauanAru;Dobo;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianBarat;Kairatu;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;KeiBesar;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;KeiBesarSelatan;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;KeiBesarUtaraTimur;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;KeiKecil;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Kormomolin;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;KotaMasohi;102000;6 - 7 Hari;87000;7 - 8 Hari;-;-;YOGYAKARTA
MalukuTengah;Leihitu;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Ambon;LeitimurSelatan;61000;5 - 6 Hari;52000;6 - 7 Hari;-;-;YOGYAKARTA
Buru;Leksula/BuruSelatan;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Luser;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Mola;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Buru;Namlea;102000;6 - 7 Hari;87000;7 - 8 Hari;-;-;YOGYAKARTA
MalukuTenggaraBarat;Nirunmas;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;NusaLaut;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Ambon;Nusaniwe;61000;5 - 6 Hari;52000;6 - 7 Hari;-;-;YOGYAKARTA
SeramBagianBarat;Piru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;PulauHaruku;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KepulauanAru;Pulau-PulauAru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KepulauanAru;Pulau-PulauAruSelatan;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
KepulauanAru;Pulau-PulauAruTengah;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Pulau-PulauBabar;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Pulau-PulauBabarTimur;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianTimur;Pulau-PulauGorong;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;Pulau-PulauKur;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Pulau-PulauLetimoaLakor;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Pulau-PulauTerselatan;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Pulau-PulauWetar;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;SalaHutu;128000;7 - 8 Hari;109000;9 - 10 Hari;-;-;YOGYAKARTA
MalukuTengah;Saparua;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Saumlaki;102000;6 - 7 Hari;87000;7 - 8 Hari;-;-;YOGYAKARTA
MalukuTenggaraBarat;Selaru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianBarat;SeramBarat;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianTimur;SeramTimur;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;SeramUtara;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Serwaru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Ambon;Sirimau;61000;5 - 6 Hari;52000;6 - 7 Hari;-;-;YOGYAKARTA
MalukuTenggaraBarat;TanimbarSelatan;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;TanimbarUtara;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianBarat;Taniwel;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTengah;Tehoru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Ambon;TelukAmbon;128000;7 - 8 Hari;109000;9 - 10 Hari;-;-;YOGYAKARTA
Ambon;TelukAmbonBaguala;128000;7 - 8 Hari;109000;9 - 10 Hari;-;-;YOGYAKARTA
MalukuTengah;TeonNilaSerua;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggara;Tual;102000;6 - 7 Hari;87000;7 - 8 Hari;-;-;YOGYAKARTA
Buru;Waesama;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianBarat;Waisala;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Buru;Wayapo/BuruUtaraTimur;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
SeramBagianTimur;Werinama;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;WerMakatian;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Wertamrian;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Wuarlabobar;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
MalukuTenggaraBarat;Yaru;192000;+ 10 Hari;-;-;-;-;YOGYAKARTA
BaritoKuala;Alalak;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjar;AluhAluh;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;Amuntai;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;AmuntaiSelatan;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;AmuntaiTengah;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;AmuntaiUtara;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;Angkinang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;AnjirMuara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;AnjirPasar;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjar;Aranio;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjar;Astambul;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoTimur;Awang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Balangan;Awayan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;Babirik;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;Bakarangan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;Bakumpai;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;Banjang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjarbaru;BanjarBaru;35000;2 - 3 Hari;30000;4 - 5 Hari;-;-;YOGYAKARTA
Banjarmasin;Banjarmasin;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Banjarmasin;BanjarmasinBarat;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Banjarmasin;BanjarmasinSelatan;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Banjarmasin;BanjarmasinTengah;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Banjarmasin;BanjarmasinTimur;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Banjarmasin;BanjarmasinUtara;35000;2 - 3 Hari;30000;4 - 5 Hari;58000;-;YOGYAKARTA
Tabalong;BanuaLawas;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;Barabai;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
BaritoKuala;Barambai;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;BatangAlaiSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;BatangAlaiTengah;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;BatangAlaiUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahLaut;Bati-Bati;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahLaut;BatuAmpar;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;BatuBenawa;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahBambu;BatuLicin;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Balangan;BatuMandi;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;Belawang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoTimur;BenuaLima;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tabalong;BintangAra;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;Binuang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;Bungur;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;Buntok;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Tampin;CandiLarasSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;CandiLarasUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjarbaru;Cempaka;35000;2 - 3 Hari;30000;4 - 5 Hari;-;-;YOGYAKARTA
BaritoKuala;Cerbon;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;DahaBarat;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;DahaSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;DahaUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiUtara;DanauPanggang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;DusunHilir;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;DusunSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoTimur;DusunTengah;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoTimur;DusunTimur;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;DusunUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjar;Gambut;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;GunungBintangAwai;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoUtara;GunungPurei;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoUtara;GunungTimang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Balangan;Halong;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;Hampang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;Hantakan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tabalong;Haruai;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;Haruyan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;Hatungun;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Tabalong;Jaro;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;Jenamas;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahLaut;Jorong;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Balangan;Juai;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;Kalumpang;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;Kandangan;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Banjar;KarangIntan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoSelatan;KarauKuala;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tabalong;Kelua;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;KelumpangHulu;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;KelumpangSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;KelumpangTengah;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;KelumpangUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjar;KertakHanyar;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahLaut;Kintap;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;KotaBaru;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
TanahLaut;Kurau;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;Kuripan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahBambu;KusanHilir;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahBambu;KusanHulu;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;LabuanAmasSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;LabuanAmasUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoUtara;Lahei;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Balangan;Lampihong;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Banjarbaru;LandasanUlin;35000;2 - 3 Hari;30000;4 - 5 Hari;-;-;YOGYAKARTA
MurungRaya;LaungTuhup;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tampin;Lokpaikat;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;Loksado;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;Mandastana;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;Marabahan;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Banjar;Martapura;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Banjar;Mataraman;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoKuala;MekarSari;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoUtara;Montalat;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tabalong;MuaraHarus;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
BaritoUtara;MuaraTeweh;60000;5 - 6 Hari;51000;7 - 8 Hari;-;-;YOGYAKARTA
Tabalong;MuaraUya;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
MurungRaya;Murung;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
Tabalong;MurungPudak;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiSelatan;PadangBatung;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;PamukanSelatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
KotaBaru;PamukanUtara;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
HuluSungaiTengah;Pandawan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
TanahLaut;Panyipatan;75000;7 - 8 Hari;64000;8 - 10 Hari;-;-;YOGYAKARTA
